Date,Open,High,Low,Close,AdjClose,Volume
2022-03-28,1.3173,1.3177,1.3067,1.3099,1.3099,827
2022-03-29,1.3099,1.3106,1.3079,1.3093,1.3093,179
2022-03-30,1.3093,1.3183,1.3089,1.3138,1.3138,52
2022-03-31,1.3138,1.3176,1.3106,1.3146,1.3146,256
2022-04-01,1.3146,1.3147,1.3087,1.3115,1.3115,470
2022-04-03,1.3106,1.3112,1.31,1.3105,1.3105,70
2022-04-04,1.3105,1.3137,1.3093,1.3113,1.3113,106
2022-04-05,1.3113,1.3167,1.3067,1.3077,1.3077,369
2022-04-06,1.3077,1.3108,1.3046,1.3069,1.3069,257
2022-04-07,1.3069,1.3107,1.3052,1.3069,1.3069,152
2022-04-08,1.3069,1.3077,1.2982,1.3037,1.3037,684
2022-04-10,1.3031,1.304,1.3025,1.303,1.303,69
2022-04-11,1.303,1.3057,1.2989,1.3023,1.3023,333
2022-04-12,1.3023,1.3054,1.2994,1.3002,1.3002,242
2022-04-13,1.3002,1.3123,1.2973,1.3119,1.3119,242
2022-04-14,1.3119,1.3148,1.3034,1.3076,1.3076,669
2022-04-15,1.3054,1.3075,1.3051,1.3062,1.3062,37
2022-04-17,1.3055,1.3065,1.305,1.3057,1.3057,54
2022-04-18,1.3057,1.3058,1.3001,1.3008,1.3008,446
2022-04-19,1.3008,1.3041,1.2981,1.3014,1.3014,228
2022-04-20,1.3014,1.3074,1.2997,1.3068,1.3068,154
2022-04-21,1.3068,1.3091,1.3023,1.3025,1.3025,367
2022-04-22,1.3025,1.3033,1.2823,1.2838,1.2838,1569
2022-04-24,1.2839,1.2843,1.2826,1.2828,1.2828,116
2022-04-25,1.2828,1.283,1.2698,1.2738,1.2738,1039
2022-04-26,1.2738,1.2772,1.256,1.2582,1.2582,1414
2022-04-27,1.2582,1.2602,1.2503,1.254,1.254,647
2022-04-28,1.254,1.257,1.2412,1.2465,1.2465,1043
2022-04-29,1.2465,1.2615,1.2465,1.2576,1.2576,20
2022-05-01,1.2584,1.2589,1.257,1.2571,1.2571,131
2022-05-02,1.2571,1.2597,1.2473,1.25,1.25,796
2022-05-03,1.25,1.2567,1.2471,1.2499,1.2499,252
2022-05-04,1.2499,1.2638,1.2452,1.2617,1.2617,393
2022-05-05,1.2617,1.2633,1.2325,1.2363,1.2363,2330
2022-05-06,1.2363,1.2381,1.2276,1.2339,1.2339,717
2022-05-08,1.234,1.2348,1.2325,1.2326,1.2326,140
2022-05-09,1.2326,1.2406,1.2261,1.2336,1.2336,545
2022-05-10,1.2336,1.2376,1.2292,1.2307,1.2307,381
2022-05-11,1.2307,1.2401,1.2232,1.2234,1.2234,631
2022-05-12,1.2234,1.2249,1.2165,1.2205,1.2205,576
2022-05-13,1.2205,1.2263,1.2156,1.2262,1.2262,419
2022-05-15,1.2262,1.2297,1.2219,1.2259,1.2259,0
2022-05-16,1.2261,1.233,1.2217,1.2326,1.2326,373
2022-05-17,1.2326,1.2499,1.2321,1.2487,1.2487,59
2022-05-18,1.2487,1.2501,1.233,1.2345,1.2345,1280
2022-05-19,1.2344,1.2525,1.2338,1.2463,1.2463,69
